seq_id,salt
kvar_0000,0.05
kvar_0000,0.1
kvar_0000,0.15
kvar_0000,0.3
kvar_0000,0.5
kvar_0001,0.05
kvar_0001,0.1
kvar_0001,0.15
kvar_0001,0.3
kvar_0001,0.5
kvar_0002,0.05
kvar_0002,0.1
kvar_0002,0.15
kvar_0002,0.3
kvar_0002,0.5
kvar_0003,0.05
kvar_0003,0.1
kvar_0003,0.15
kvar_0003,0.3
kvar_0003,0.5
kvar_0004,0.05
kvar_0004,0.1
kvar_0004,0.15
kvar_0004,0.3
kvar_0004,0.5
kvar_0005,0.05
kvar_0005,0.1
kvar_0005,0.15
kvar_0005,0.3
kvar_0005,0.5
kvar_0006,0.05
kvar_0006,0.1
kvar_0006,0.15
kvar_0006,0.3
kvar_0006,0.5
kvar_0007,0.05
kvar_0007,0.1
kvar_0007,0.15
kvar_0007,0.3
kvar_0007,0.5
kvar_0008,0.05
kvar_0008,0.1
kvar_0008,0.15
kvar_0008,0.3
kvar_0008,0.5
kvar_0009,0.05
kvar_0009,0.1
kvar_0009,0.15
kvar_0009,0.3
kvar_0009,0.5
kvar_0010,0.05
kvar_0010,0.1
kvar_0010,0.15
kvar_0010,0.3
kvar_0010,0.5
kvar_0011,0.05
kvar_0011,0.1
kvar_0011,0.15
kvar_0011,0.3
kvar_0011,0.5
kvar_0012,0.05
kvar_0012,0.1
kvar_0012,0.15
kvar_0012,0.3
kvar_0012,0.5
kvar_0013,0.05
kvar_0013,0.1
kvar_0013,0.15
kvar_0013,0.3
kvar_0013,0.5
kvar_0014,0.05
kvar_0014,0.1
kvar_0014,0.15
kvar_0014,0.3
kvar_0014,0.5
kvar_0015,0.05
kvar_0015,0.1
kvar_0015,0.15
kvar_0015,0.3
kvar_0015,0.5
kvar_0016,0.05
kvar_0016,0.1
kvar_0016,0.15
kvar_0016,0.3
kvar_0016,0.5
kvar_0017,0.05
kvar_0017,0.1
kvar_0017,0.15
kvar_0017,0.3
kvar_0017,0.5
kvar_0018,0.05
kvar_0018,0.1
kvar_0018,0.15
kvar_0018,0.3
kvar_0018,0.5
kvar_0019,0.05
kvar_0019,0.1
kvar_0019,0.15
kvar_0019,0.3
kvar_0019,0.5
kvar_0020,0.05
kvar_0020,0.1
kvar_0020,0.15
kvar_0020,0.3
kvar_0020,0.5
kvar_0021,0.05
kvar_0021,0.1
kvar_0021,0.15
kvar_0021,0.3
kvar_0021,0.5
kvar_0022,0.05
kvar_0022,0.1
kvar_0022,0.15
kvar_0022,0.3
kvar_0022,0.5
kvar_0023,0.05
kvar_0023,0.1
kvar_0023,0.15
kvar_0023,0.3
kvar_0023,0.5
kvar_0024,0.05
kvar_0024,0.1
kvar_0024,0.15
kvar_0024,0.3
kvar_0024,0.5
kvar_0025,0.05
kvar_0025,0.1
kvar_0025,0.15
kvar_0025,0.3
kvar_0025,0.5
kvar_0026,0.05
kvar_0026,0.1
kvar_0026,0.15
kvar_0026,0.3
kvar_0026,0.5
kvar_0027,0.05
kvar_0027,0.1
kvar_0027,0.15
kvar_0027,0.3
kvar_0027,0.5
kvar_0028,0.05
kvar_0028,0.1
kvar_0028,0.15
kvar_0028,0.3
kvar_0028,0.5
kvar_0029,0.05
kvar_0029,0.1
kvar_0029,0.15
kvar_0029,0.3
kvar_0029,0.5
kvar_0030,0.05
kvar_0030,0.1
kvar_0030,0.15
kvar_0030,0.3
kvar_0030,0.5
kvar_0031,0.05
kvar_0031,0.1
kvar_0031,0.15
kvar_0031,0.3
kvar_0031,0.5
kvar_0032,0.05
kvar_0032,0.1
kvar_0032,0.15
kvar_0032,0.3
kvar_0032,0.5
kvar_0033,0.05
kvar_0033,0.1
kvar_0033,0.15
kvar_0033,0.3
kvar_0033,0.5
kvar_0034,0.05
kvar_0034,0.1
kvar_0034,0.15
kvar_0034,0.3
kvar_0034,0.5
kvar_0035,0.05
kvar_0035,0.1
kvar_0035,0.15
kvar_0035,0.3
kvar_0035,0.5
kvar_0036,0.05
kvar_0036,0.1
kvar_0036,0.15
kvar_0036,0.3
kvar_0036,0.5
kvar_0037,0.05
kvar_0037,0.1
kvar_0037,0.15
kvar_0037,0.3
kvar_0037,0.5
kvar_0038,0.05
kvar_0038,0.1
kvar_0038,0.15
kvar_0038,0.3
kvar_0038,0.5
kvar_0039,0.05
kvar_0039,0.1
kvar_0039,0.15
kvar_0039,0.3
kvar_0039,0.5
kvar_0040,0.05
kvar_0040,0.1
kvar_0040,0.15
kvar_0040,0.3
kvar_0040,0.5
kvar_0041,0.05
kvar_0041,0.1
kvar_0041,0.15
kvar_0041,0.3
kvar_0041,0.5
kvar_0042,0.05
kvar_0042,0.1
kvar_0042,0.15
kvar_0042,0.3
kvar_0042,0.5
kvar_0043,0.05
kvar_0043,0.1
kvar_0043,0.15
kvar_0043,0.3
kvar_0043,0.5
kvar_0044,0.05
kvar_0044,0.1
kvar_0044,0.15
kvar_0044,0.3
kvar_0044,0.5
kvar_0045,0.05
kvar_0045,0.1
kvar_0045,0.15
kvar_0045,0.3
kvar_0045,0.5
kvar_0046,0.05
kvar_0046,0.1
kvar_0046,0.15
kvar_0046,0.3
kvar_0046,0.5
kvar_0047,0.05
kvar_0047,0.1
kvar_0047,0.15
kvar_0047,0.3
kvar_0047,0.5
kvar_0048,0.05
kvar_0048,0.1
kvar_0048,0.15
kvar_0048,0.3
kvar_0048,0.5
kvar_0049,0.05
kvar_0049,0.1
kvar_0049,0.15
kvar_0049,0.3
kvar_0049,0.5
kvar_0050,0.05
kvar_0050,0.1
kvar_0050,0.15
kvar_0050,0.3
kvar_0050,0.5
kvar_0051,0.05
kvar_0051,0.1
kvar_0051,0.15
kvar_0051,0.3
kvar_0051,0.5
kvar_0052,0.05
kvar_0052,0.1
kvar_0052,0.15
kvar_0052,0.3
kvar_0052,0.5
kvar_0053,0.05
kvar_0053,0.1
kvar_0053,0.15
kvar_0053,0.3
kvar_0053,0.5
kvar_0054,0.05
kvar_0054,0.1
kvar_0054,0.15
kvar_0054,0.3
kvar_0054,0.5
kvar_0055,0.05
kvar_0055,0.1
kvar_0055,0.15
kvar_0055,0.3
kvar_0055,0.5
kvar_0056,0.05
kvar_0056,0.1
kvar_0056,0.15
kvar_0056,0.3
kvar_0056,0.5
kvar_0057,0.05
kvar_0057,0.1
kvar_0057,0.15
kvar_0057,0.3
kvar_0057,0.5
kvar_0058,0.05
kvar_0058,0.1
kvar_0058,0.15
kvar_0058,0.3
kvar_0058,0.5
kvar_0059,0.05
kvar_0059,0.1
kvar_0059,0.15
kvar_0059,0.3
kvar_0059,0.5
kvar_0060,0.05
kvar_0060,0.1
kvar_0060,0.15
kvar_0060,0.3
kvar_0060,0.5
kvar_0061,0.05
kvar_0061,0.1
kvar_0061,0.15
kvar_0061,0.3
kvar_0061,0.5
kvar_0062,0.05
kvar_0062,0.1
kvar_0062,0.15
kvar_0062,0.3
kvar_0062,0.5
kvar_0063,0.05
kvar_0063,0.1
kvar_0063,0.15
kvar_0063,0.3
kvar_0063,0.5
kvar_0064,0.05
kvar_0064,0.1
kvar_0064,0.15
kvar_0064,0.3
kvar_0064,0.5
kvar_0065,0.05
kvar_0065,0.1
kvar_0065,0.15
kvar_0065,0.3
kvar_0065,0.5
kvar_0066,0.05
kvar_0066,0.1
kvar_0066,0.15
kvar_0066,0.3
kvar_0066,0.5
kvar_0067,0.05
kvar_0067,0.1
kvar_0067,0.15
kvar_0067,0.3
kvar_0067,0.5
kvar_0068,0.05
kvar_0068,0.1
kvar_0068,0.15
kvar_0068,0.3
kvar_0068,0.5
kvar_0069,0.05
kvar_0069,0.1
kvar_0069,0.15
kvar_0069,0.3
kvar_0069,0.5
kvar_0070,0.05
